id_odsp, team1, team2, team1_won, team2_won, location, team1_goals, team2_goals
2Jud16E5/,Liverpool,Crystal Palace,0,1,3,1,2
2Jud16E5/,Crystal Palace,Liverpool,1,0,3,2,1
2kCQYZpk/,Sampdoria,Cagliari,1,1,3,1,1
2kCQYZpk/,Cagliari,Sampdoria,1,1,3,1,1
2kMUnUDk/,Montpellier,AS Monaco,0,1,3,1,1
2kMUnUDk/,AS Monaco,Montpellier,1,0,3,1,1
2kQKrk3E/,Granada,Celta Vigo,0,1,3,1,1
2kQKrk3E/,Celta Vigo,Granada,1,0,3,1,1
2m36KIll/,Levante,Espanyol,1,1,3,2,2
2m36KIll/,Espanyol,Levante,1,1,3,2,2
2obO0i5P/,Borussia Monchengladbach,Hannover 96,0,1,3,1,1
2obO0i5P/,Hannover 96,Borussia Monchengladbach,1,0,3,1,1
2q7rVsY9/,Stoke City,Sunderland,0,1,9,1,1
2q7rVsY9/,Sunderland,Stoke City,1,0,9,1,1
2qNiNaZg/,VfL Wolfsburg,Bayern Munich,0,1,13,1,2
2qNiNaZg/,Bayern Munich,VfL Wolfsburg,1,0,13,2,1
2sgjXB8F/,SC Freiburg,Schalke 04,1,0,8,1,1
2sgjXB8F/,Schalke 04,SC Freiburg,0,1,8,1,1
2TAKCg4g/,AS Nancy Lorraine,Evian Thonon Gaillard,1,0,3,1,1
2TAKCg4g/,Evian Thonon Gaillard,AS Nancy Lorraine,0,1,3,1,1
2u5BLHeo/,Nice,St Etienne,1,1,3,1,1
2u5BLHeo/,St Etienne,Nice,1,1,3,1,1
2uR6yW2U/,Mainz,FC Augsburg,1,0,3,1,1
2uR6yW2U/,FC Augsburg,Mainz,0,1,3,1,1
2uVnh7qQ/,Mallorca,Espanyol,1,0,11,1,1
2uVnh7qQ/,Espanyol,Mallorca,0,1,11,1,1
2VPAdou9/,Stade de Reims,St Etienne,1,1,3,1,1
2VPAdou9/,St Etienne,Stade de Reims,1,1,3,1,1
2X9MT0Os/,St Etienne,Nice,0,1,3,1,2
2X9MT0Os/,Nice,St Etienne,1,0,3,2,1
2yev5mpf/,Sochaux,Paris Saint-Germain,1,0,13,1,1
2yev5mpf/,Paris Saint-Germain,Sochaux,0,1,13,1,1
2ynI4fem/,Malaga,Getafe,1,0,13,2,1
2ynI4fem/,Getafe,Malaga,0,1,13,1,2
2Zo7uzLD/,AS Nancy Lorraine,Bastia,0,1,3,1,2
2Zo7uzLD/,Bastia,AS Nancy Lorraine,1,0,3,2,1
2ZrMMjES/,Real Sociedad,Villarreal,1,1,3,1,1
2ZrMMjES/,Villarreal,Real Sociedad,1,1,3,1,1
40kEqIGd/,Evian Thonon Gaillard,Lens,1,0,3,1,1
40kEqIGd/,Lens,Evian Thonon Gaillard,0,1,3,1,1
42qHorEJ/,Nurnberg,VfL Wolfsburg,0,1,3,1,1
42qHorEJ/,VfL Wolfsburg,Nurnberg,1,0,3,1,1
44cX5aPC/,Sampdoria,Torino,1,1,14,1,1
44cX5aPC/,Torino,Sampdoria,1,1,14,1,1
44DF0rJS/,Marseille,Evian Thonon Gaillard,1,0,3,1,1
44DF0rJS/,Evian Thonon Gaillard,Marseille,0,1,3,1,1
44xxKHZt/,Real Zaragoza,Villarreal,1,0,3,1,1
44xxKHZt/,Villarreal,Real Zaragoza,0,1,3,1,1
46CxeUG4/,Atletico Madrid,Rayo Vallecano,1,0,3,3,1
46CxeUG4/,Rayo Vallecano,Atletico Madrid,0,1,3,1,3
46EY27Qq/,Athletic Bilbao,Rayo Vallecano,0,1,13,1,2
46EY27Qq/,Rayo Vallecano,Athletic Bilbao,1,0,13,2,1
46OTSxo8/,Valencia,Real Valladolid,1,1,3,1,1
46OTSxo8/,Real Valladolid,Valencia,1,1,3,1,1
46QcEOdR/,Toulouse,Paris Saint-Germain,0,1,13,1,1
46QcEOdR/,Paris Saint-Germain,Toulouse,1,0,13,1,1
48L9Ksto/,Granada,Levante,0,1,3,1,1
48L9Ksto/,Levante,Granada,1,0,3,1,1
48Xu61ae/,Borussia Dortmund,VfL Wolfsburg,1,0,13,1,1
48Xu61ae/,VfL Wolfsburg,Borussia Dortmund,0,1,13,1,1
4b0xoQyB/,Sevilla,Athletic Bilbao,0,1,3,1,2
4b0xoQyB/,Athletic Bilbao,Sevilla,1,0,3,2,1
4bd0brSo/,Paris Saint-Germain,AS Nancy Lorraine,1,0,3,1,1
4bd0brSo/,AS Nancy Lorraine,Paris Saint-Germain,0,1,3,1,1
4bWq1P05/,TSG Hoffenheim,FC Cologne,0,1,14,1,1
4bWq1P05/,FC Cologne,TSG Hoffenheim,1,0,14,1,1
4fZgiwja/,Borussia Dortmund,VfB Stuttgart,1,1,3,2,2
4fZgiwja/,Borussia Dortmund,VfB Stuttgart,1,1,13,1,1
4fZgiwja/,VfB Stuttgart,Borussia Dortmund,1,1,3,2,2
4fZgiwja/,VfB Stuttgart,Borussia Dortmund,1,1,13,1,1
4Go8aaEj/,Fulham,Manchester City,0,1,3,1,1
4Go8aaEj/,Manchester City,Fulham,1,0,3,1,1
4GylW0V9/,Real Sociedad,Sevilla,1,0,14,1,1
4GylW0V9/,Real Sociedad,Sevilla,1,0,3,2,1
4GylW0V9/,Sevilla,Real Sociedad,0,1,14,1,1
4GylW0V9/,Sevilla,Real Sociedad,0,1,3,1,2
4h3L83i4/,Manchester City,Arsenal,1,0,3,2,1
4h3L83i4/,Arsenal,Manchester City,0,1,15,1,1
4h3L83i4/,Arsenal,Manchester City,0,1,3,1,2
4h3L83i4/,Manchester City,Arsenal,1,0,15,1,1
4hATBaq9/,Parma,Cesena,1,1,3,2,1
4hATBaq9/,Cesena,Parma,1,1,3,1,2
4hIDiPZn/,AS Roma,Cesena,1,0,13,2,1
4hIDiPZn/,Cesena,AS Roma,0,1,13,1,2
4hNtGFMS/,Swansea,Newcastle,1,0,13,2,1
4hNtGFMS/,Newcastle,Swansea,0,1,3,1,1
4hNtGFMS/,Newcastle,Swansea,0,1,13,1,2
4hNtGFMS/,Swansea,Newcastle,1,0,3,1,1
4IWtA9uh/,Valencia,Deportivo La Coruna,1,0,3,2,1
4IWtA9uh/,Deportivo La Coruna,Valencia,0,1,3,1,2
4lJnhJRC/,FC Augsburg,Eintracht Frankfurt,0,1,3,1,1
4lJnhJRC/,Eintracht Frankfurt,FC Augsburg,1,0,3,1,1
4Mj8xXai/,Atalanta,Internazionale,1,1,3,1,1
4Mj8xXai/,Internazionale,Atalanta,1,1,3,1,1
4MtDhYGO/,Lille,Guingamp,0,1,3,1,2
4MtDhYGO/,Guingamp,Lille,1,0,3,2,1
4nzfylKL/,Udinese,Chievo Verona,0,1,8,1,1
4nzfylKL/,Chievo Verona,Udinese,1,0,8,1,1
4O3F1wMC/,Montpellier,Bordeaux,1,1,13,1,1
4O3F1wMC/,Bordeaux,Montpellier,1,1,13,1,1
4OolIrkg/,Valenciennes,Marseille,1,0,3,1,1
4OolIrkg/,Marseille,Valenciennes,0,1,3,1,1
4Opl5dKb/,FC Augsburg,Bayern Munich,0,1,3,1,1
4Opl5dKb/,Bayern Munich,FC Augsburg,1,0,3,1,1
4pkwOBGg/,Guingamp,Bastia,0,1,3,1,1
4pkwOBGg/,Bastia,Guingamp,1,0,3,1,1
4Q4QsDJt/,Sampdoria,Bologna,1,1,12,1,1
4Q4QsDJt/,Bologna,Sampdoria,1,1,12,1,1
4QzBWmZu/,Real Zaragoza,Granada,1,0,3,2,1
4QzBWmZu/,Granada,Real Zaragoza,0,1,3,1,2
4SarfJf1/,Norwich City,Aston Villa,0,1,3,1,2
4SarfJf1/,Aston Villa,Norwich City,1,0,3,2,1
4SsCutr7/,Borussia Monchengladbach,SpVgg Greuther Furth,1,0,14,1,1
4SsCutr7/,SpVgg Greuther Furth,Borussia Monchengladbach,0,1,14,1,1
4ta78731/,Sampdoria,Parma,1,1,3,1,1
4ta78731/,Parma,Sampdoria,1,1,3,1,1
4U8p5KJD/,Lyon,Lille,0,1,3,1,1
4U8p5KJD/,Lille,Lyon,1,0,3,1,1
4Ud6Z5KT/,Lille,Bastia,1,0,15,1,1
4Ud6Z5KT/,Bastia,Lille,0,1,15,1,1
4vSTGWvf/,Mainz,Borussia Monchengladbach,0,1,3,1,1
4vSTGWvf/,Mainz,Borussia Monchengladbach,0,1,14,1,1
4vSTGWvf/,Borussia Monchengladbach,Mainz,1,0,3,1,1
4vSTGWvf/,Borussia Monchengladbach,Mainz,1,0,14,1,1
4vzi6PzE/,Manchester Utd,Aston Villa,1,0,3,2,1
4vzi6PzE/,Aston Villa,Manchester Utd,0,1,3,1,2
4x1BePrk/,Valencia,Real Valladolid,1,0,3,1,1
4x1BePrk/,Real Valladolid,Valencia,0,1,3,1,1
4xCdEwYE/,Sochaux,St Etienne,1,0,15,1,1
4xCdEwYE/,St Etienne,Sochaux,0,1,15,1,1
61jDXqrI/,Racing Santander,Valencia,1,1,3,1,2
61jDXqrI/,Valencia,Racing Santander,1,1,3,2,1
61VV9l4k/,Paris Saint-Germain,Bastia,0,1,3,1,1
61VV9l4k/,Bastia,Paris Saint-Germain,1,0,15,1,1
61VV9l4k/,Paris Saint-Germain,Bastia,0,1,15,1,1
61VV9l4k/,Bastia,Paris Saint-Germain,1,0,3,1,1
67UkXBSg/,Toulouse,St Etienne,1,1,3,1,2
67UkXBSg/,St Etienne,Toulouse,1,1,3,2,1
692AyPzj/,Valencia,Barcelona,1,1,3,1,1
692AyPzj/,Barcelona,Valencia,1,1,3,1,1
69FNC9yP/,Aston Villa,Stoke City,0,1,3,1,1
