assists,goals,attempts,event_team
1,191,1227,Barcelona
2,48,297,Barcelona
3,4,35,Barcelona
4,67,231,Barcelona
0,78,585,St Etienne
1,80,947,St Etienne
2,59,509,St Etienne
3,9,76,St Etienne
4,20,71,St Etienne
0,34,247,Brest
1,28,531,Brest
2,9,142,Brest
3,1,28,Brest
4,7,34,Brest
0,13,134,US Pescara
1,9,205,US Pescara
2,7,80,US Pescara
3,0,11,US Pescara
4,1,11,US Pescara
0,74,572,Internazionale
1,76,1301,Internazionale
2,70,475,Internazionale
3,15,74,Internazionale
4,29,116,Internazionale
0,90,665,Valencia
1,66,918,Valencia
2,76,464,Valencia
3,11,69,Valencia
4,26,130,Valencia
0,41,282,Deportivo La Coruna
1,33,496,Deportivo La Coruna
2,12,174,Deportivo La Coruna
3,5,37,Deportivo La Coruna
4,3,31,Deportivo La Coruna
0,62,489,Atalanta
1,47,772,Atalanta
2,49,449,Atalanta
3,10,96,Atalanta
4,11,47,Atalanta
0,83,635,Lazio
1,82,1120,Lazio
2,52,411,Lazio
3,10,68,Lazio
4,16,61,Lazio
0,57,526,Bologna
1,36,737,Bologna
2,33,331,Bologna
3,6,72,Bologna
4,15,48,Bologna
0,48,472,Chievo Verona
1,51,847,Chievo Verona
2,36,376,Chievo Verona
3,4,65,Chievo Verona
4,18,59,Chievo Verona
0,31,231,Real Valladolid
1,36,432,Real Valladolid
2,35,212,Real Valladolid
3,2,35,Real Valladolid
4,7,25,Real Valladolid
0,64,509,Levante
1,50,661,Levante
2,41,316,Levante
3,7,63,Levante
4,13,64,Levante
0,85,536,Atletico Madrid
1,79,922,Atletico Madrid
2,71,526,Atletico Madrid
3,18,78,Atletico Madrid
4,16,75,Atletico Madrid
0,58,567,Athletic Bilbao
1,52,850,Athletic Bilbao
2,82,536,Athletic Bilbao
3,7,73,Athletic Bilbao
4,27,95,Athletic Bilbao
0,93,677,Lyon
1,91,1022,Lyon
2,67,392,Lyon
3,6,65,Lyon
4,20,94,Lyon
0,76,557,Evian Thonon Gaillard
1,52,848,Evian Thonon Gaillard
2,48,370,Evian Thonon Gaillard
3,6,70,Evian Thonon Gaillard
4,29,73,Evian Thonon Gaillard
0,72,608,Bordeaux
1,72,1093,Bordeaux
2,65,495,Bordeaux
3,8,77,Bordeaux
4,11,30,Bordeaux
0,69,486,Schalke 04
1,116,933,Schalke 04
2,49,401,Schalke 04
3,4,65,Schalke 04
4,11,48,Schalke 04
0,68,513,Hannover 96
1,65,785,Hannover 96
2,44,349,Hannover 96
3,10,59,Hannover 96
4,7,35,Hannover 96
0,114,630,Paris Saint-Germain
1,101,1047,Paris Saint-Germain
2,72,477,Paris Saint-Germain
3,9,71,Paris Saint-Germain
4,38,157,Paris Saint-Germain
0,10,156,Kaiserslautern
1,13,230,Kaiserslautern
2,5,106,Kaiserslautern
3,1,23,Kaiserslautern
4,0,7,Kaiserslautern
0,44,297,Caen
1,27,402,Caen
2,21,186,Caen
3,1,28,Caen
4,11,49,Caen
0,44,330,Hertha Berlin
1,50,549,Hertha Berlin
2,28,203,Hertha Berlin
3,2,42,Hertha Berlin
4,4,29,Hertha Berlin
0,25,181,FC Cologne
1,37,376,FC Cologne
2,10,96,FC Cologne
3,4,30,FC Cologne
4,1,18,FC Cologne
0,20,186,AJ Auxerre
1,18,222,AJ Auxerre
2,18,122,AJ Auxerre
3,3,22,AJ Auxerre
4,0,26,AJ Auxerre
0,20,164,Dijon FCO
1,8,192,Dijon FCO
2,14,88,Dijon FCO
3,2,18,Dijon FCO
4,0,8,Dijon FCO
0,19,156,Sporting Gijon
1,14,221,Sporting Gijon
2,9,88,Sporting Gijon
3,2,18,Sporting Gijon
4,3,17,Sporting Gijon
0,6,117,Racing Santander
1,13,189,Racing Santander
2,15,94,Racing Santander
3,1,20,Racing Santander
4,4,12,Racing Santander
0,56,411,Villarreal
1,64,764,Villarreal
2,21,251,Villarreal
3,2,39,Villarreal
4,17,85,Villarreal
0,21,146,Novara
1,9,225,Novara
2,13,127,Novara
3,4,30,Novara
4,1,33,Novara
0,30,233,Cesena
1,20,407,Cesena
2,9,131,Cesena
3,6,44,Cesena
4,4,19,Cesena
0,20,133,Lecce
1,10,231,Lecce
2,13,88,Lecce
3,2,13,Lecce
4,5,32,Lecce
0,36,279,AS Monaco
1,47,541,AS Monaco
2,30,255,AS Monaco
3,1,35,AS Monaco
4,12,41,AS Monaco
0,26,241,Guingamp
1,17,304,Guingamp
2,29,228,Guingamp
3,3,54,Guingamp
4,4,20,Guingamp
0,24,216,Nantes
1,22,388,Nantes
2,24,212,Nantes
3,2,43,Nantes
4,4,31,Nantes
0,34,242,Almeria
1,19,359,Almeria
2,22,178,Almeria
3,0,23,Almeria
4,9,24,Almeria
0,24,252,Elche
1,20,395,Elche
2,20,176,Elche
3,5,20,Elche
4,2,11,Elche
0,34,237,Hellas Verona
1,43,435,Hellas Verona
2,28,227,Hellas Verona
3,7,42,Hellas Verona
4,10,26,Hellas Verona
0,37,332,Sassuolo
1,31,477,Sassuolo
2,22,173,Sassuolo
3,0,33,Sassuolo
4,7,24,Sassuolo
0,22,170,Livorno
1,13,295,Livorno
2,7,79,Livorno
3,5,17,Livorno
4,3,8,Livorno
0,8,135,TSV Eintracht Braunschweig
1,20,220,TSV Eintracht Braunschweig
2,5,61,TSV Eintracht Braunschweig
3,1,15,TSV Eintracht Braunschweig
4,0,1,TSV Eintracht Braunschweig
0,20,212,Aston Villa
1,23,390,Aston Villa
2,17,147,Aston Villa
3,4,55,Aston Villa
4,3,7,Aston Villa
0,30,231,Hull
1,22,339,Hull
2,23,211,Hull
3,3,36,Hull
4,0,6,Hull
0,12,117,Fulham
1,20,203,Fulham
2,9,77,Fulham
3,1,16,Fulham
4,1,5,Fulham
0,36,254,Stoke City
1,29,455,Stoke City
2,19,194,Stoke City
3,10,55,Stoke City
4,6,11,Stoke City
0,29,216,Sunderland
1,25,442,Sunderland
2,20,154,Sunderland
3,1,32,Sunderland
4,4,24,Sunderland
0,50,274,Manchester Utd
1,43,475,Manchester Utd
2,23,219,Manchester Utd
3,4,33,Manchester Utd
4,10,51,Manchester Utd
0,64,324,Liverpool
1,48,682,Liverpool
2,26,153,Liverpool
3,1,29,Liverpool
4,17,48,Liverpool
0,33,217,Crystal Palace
1,25,385,Crystal Palace
2,21,177,Crystal Palace
3,3,48,Crystal Palace
4,4,11,Crystal Palace
0,53,270,Manchester City
1,69,738,Manchester City
2,26,233,Manchester City
